D00217,CC(=O)Nc1ccc(O)cc1
D01276,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.OS(=O)(=O)O
D01275,Cl.COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
D00903,[K+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
D00902,CC(=O)NC1[C@@H](NC(=N)N)C=C(O[C@H]1[C@H](O)C(O)CO)C(=O)O
D00900,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(=O)C)[C@@H](N)C1.OP(=O)(O)O
D00670,Cl.COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
D00904,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
D00494,CC(CN1c2ccccc2Sc3ccccc13)N(C)C
D00496,CC(C)(S)[C@@H](N)C(=O)O
D02229,CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4.OC(=O)CC(O)(CC(=O)O)C(=O)O
D00889,[Na+].COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c1c2ccc(F)cc2)C(C)C
D00882,O[N+](=O)[O-].Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
D03741,CC[C@H](C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]3CCCN3C(=O)OC(C)(C)C)C(C)C)C(=O)NCc4ccccn4
D00887,[Ca+2].CC(C)c1c(C(=O)Nc2ccccc2)c(c3ccccc3)c(c4ccc(F)cc4)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c5c(C(=O)Nc6ccccc6)c(c7ccccc7)c(c8ccc(F)cc8)n5CC[C@@H](O)C[C@@H](O)CC(=O)[O-]
D00885,O[N+](=O)[O-].Clc1ccc(CO\N=C(/Cn2ccnc2)\c3ccc(Cl)cc3Cl)c(Cl)c1
D02355,Cc1ccc(cc1)C(=O)c2ccc(CC(=O)O)n2C
D02356,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
D00153,C[C@]12CCC3[C@@H](CCC4=CC(=O)C=C[C@]34C)C1CCC(=O)O2
D02350,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
D00155,OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CNC=Nc23
D00158,O.O.[Na+].Cc1ccc(cc1)C(=O)c2ccc(CC(=O)[O-])n2C
D00014,NC(CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
D00401,CN1C=CNC1=S
D03899,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
D04197,OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O
D02835,[Na+].[O-]C(=O)CN1C(=O)c2cccc3cccc(C1=O)c23
D05341,CCCCCCCCCCCCCCCC(=O)O
D00521,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
D00018,OC[C@H](O)[C@H]1OC(=O)C(=C1O)O
D00703,NC(=O)OC1(CCCCC1)C#C
D00709,CC[C@H](N1CCCC1=O)C(=O)N
D03738,COc1ccc(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)CC(C)C)cc1
D03731,C[C@H](Cc1ccccc1)N(C)CC#C
D03733,Cl.NC\C(=C\F)\CCc1ccc(F)cc1
D03735,CCCCCCCN(CCCCCSc1nc(c2ccccc2)c([nH]1)c3ccccc3)C(=O)Nc4ccc(F)cc4F
D03734,CCCCCCN(Cc1ccc(CC(C)(C)C)cc1)C(=C2C(=O)OC(C)(C)OC2=O)Nc3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C
D03736,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C
D03807,OC(=O)CN1C(=O)N(Cc2ccc(Br)cc2F)C(=O)c3ccc(Cl)cc13
D03806,OC(=O)CC1=NN(Cc2ccc(Br)cc2F)C(=O)c3ccccc13
D03805,Fc1ccc2C(=O)N(Cc3ccc(Br)cc3F)C(=O)C4(CC(=O)NC4=O)c2c1
D00330,CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2
D00332,NCC1(CC(=O)O)CCCCC1
D00333,Nc1nc(O)c2ncn(COC(CO)CO)c2n1
D02731,Cl.Cl.CCCc1nc(C)c2C(=O)N=C(Nn12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC)CC4
D02880,Cl.CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl
D01122,CC(C)Cc1ccc(cc1)C(C)C(=O)OCc2ccccn2
D06238,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
D03601,CC1CC(CC(C)(C)C1)OC(=O)[C@@H]2CCC(=O)N2
D00623,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3cc(OC)c(OC)cc3C[C@H]2C(=O)O
D00620,Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(CC(=O)O)C2=O
D00208,CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N
D00630,O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-]
D01885,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O[C@H]6CCCCO6)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
D01888,Cl.CC(CCc1ccc2OCOc2c1)NN
D00203,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O
D00151,Cc1cccc(Nc2ccccc2C(=O)O)c1C
D00542,FC(F)(F)C(Cl)Br
D01370,Nc1nc(Cl)nc2c1ncn2[C@H]3C[C@H](O)[C@@H](CO)O3
D01900,C[C@H](CSC(=O)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)O
D00593,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O
D00596,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3.OC(=O)\C=C/C(=O)O
D01907,Nc1nc(F)nc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]3O
D00547,FCOC(C(F)(F)F)C(F)(F)F
D02304,NCCCC[C@H](N)C(=O)O
D02068,Cl.Nc1c2CCCCc2nc3ccccc13
D02487,Cl.CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1
D04966,CN(C)C(=N)NC(=N)N
D00448,OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3
D00449,[O-][S+](CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3)c4ccccc4
D00118,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O
D02017,CN1C(=O)N(C)c2nc[n-]c2C1=O.C[N+](C)(C)CCO
D00528,CN1C(=O)N(C)c2ncn(C)c2C1=O
D00298,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C
D01425,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4
D00294,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
D00293,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
D01862,[Ca+2].O[C@H](C[C@H](O)\C=C\c1c(nc2ccccc2c1c3ccc(F)cc3)C4CC4)CC(=O)[O-].O[C@H](C[C@H](O)\C=C\c5c(nc6ccccc6c5c7ccc(F)cc7)C8CC8)CC(=O)[O-]
D01747,Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(=O)C
D03012,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(cccc2C(C)C)C(C)C)c(c1)C(C)C
D00749,Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F
D00065,CC[C@H](C)[C@H](N)C(=O)O
D01164,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
D01513,CC(C(=O)O)c1ccc(NCC(=C)C)cc1
D02698,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@H](O[C@H]5[C@H](O)[C@H]4O)c6cccs6)c7cc8OCOc8cc27
D03743,CSC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)N2CCOCC2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C(=O)OC(C)C
D03745,Cl.CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2cscn2)NC(=O)[C@H](Cc3ccccc3)CS(=O)(=O)N4CCN(C)CC4
D03714,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
D00364,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1
D00362,O.O.NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O
D00369,N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O
D02168,Cl.CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O
D01767,CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3
D02166,Cl.Cl.OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
D02769,Nc1ncnc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O
D01565,COc1ccc2c(c1)c(CC(=O)OC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C)c(C)n2C(=O)c3ccc(Cl)cc3
D00969,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3
D00968,O.O.[Ca+2].CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c3cccc(Oc4ccccc4)c3
D01844,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CO[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)[O-])[C@H](O)[C@H]4O)C(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]3NS(=O)(=O)[O-])[C@H](O)[C@H]2OS(=O)(=O)[O-])C(=O)[O-])[C@H](O)[C@H]1NS(=O)(=O)[O-]
D00965,CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-]
D01866,CN1C(=C(O)c2sc(Cl)cc2S1(=O)=O)C(=O)Nc3ccccn3
D00960,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N
D00963,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
D00094,C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C
D00097,OC(=O)c1ccccc1O
D00560,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
D00563,CN1CCN2C(C1)c3ccccc3Cc4cccnc24
D00562,CCCC1=CC(=O)NC(=S)N1
D00567,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
D00566,[Na+].Oc1ccccc1C(=O)[O-]
D00569,CCOc1ccc(NC(=O)C)cc1
D00568,CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3
D01264,Cl.COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C
D00398,Cl.CC(C)[C@H](N)C(=O)OCCOCn1cnc2C(=O)N=C(N)Nc12
D00391,OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(C(=O)NC2=O)C(F)(F)F
D02110,O.O.O.[Na+].COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c3ccc(Cl)cc3
D01578,CC(C(=O)O)c1ccc2Oc3ncccc3Cc2c1
D02335,CC1=CC(=O)c2ccccc2C1=O
D02556,C[C@@H](c1nc(cs1)c2ccc(cc2)C#N)[C@](O)(Cn3cncn3)c4ccc(F)cc4F
D04983,CSCCC(N)C(=O)O
D05458,CC(C)(N)Cc1ccccc1
D00893,[Na+].CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@@H]12
D00892,[Na+].CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(=O)[O-])c(c2ccc(F)cc2)c3ccccc13
D00027,O=C1NC=CC(=O)N1
D00021,N[C@@H](Cc1ccccc1)C(=O)O
D00785,Cl.C[C@H](Cc1ccccc1)N(C)CC#C
D00786,Cc1ccc(cc1)C(=O)c2cc(O)c(O)c(c2)[N+](=O)[O-]
D00781,CCN(CC)C(=O)\C(=C\c1cc(O)c(O)c(c1)[N+](=O)[O-])\C#N
D00029,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
D02290,O.O.[Na+].CC(C(=O)[O-])c1ccc(c(F)c1)c2ccccc2
D02342,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
D02341,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
D00418,Nc1cc(nc(N)[n+]1[O-])N2CCCCC2
D00148,CC(C)CCCC(C)CCCC(C)CCC\C(=C\CC1=C(C)C(=O)c2ccccc2C1=O)\C
D00414,CC(N(O)C(=O)N)c1cc2ccccc2s1
D00145,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
D00416,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
D00410,CC(C)(C(=O)c1cccnc1)c2cccnc2
D00141,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3
D03882,CC1=C(C)C(=O)C(=C(C)C1=O)CCCCC#CCCCC#CCO
D01001,[Cl-].[Cl-].CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl
D05353,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
D00129,C[C@H](CCCC(C)(C)O)C1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C
D00733,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
D04292,COc1ccc2CN(C)CC[C@@]34C=CC(O)CC3Oc1c24
D00285,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.Cc3onc(NS(=O)(=O)c4ccc(N)cc4)c3
D00328,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
D00537,CC1(C)O[C@@H]2CO[C@@]3(COS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1
D00322,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
D00325,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C
D00827,O.O.O.O.[Mg+2].Oc1ccccc1C(=O)[O-].Oc2ccccc2C(=O)[O-]
D02729,Cl.COc1ccc(cc1OC)C(=O)NCc2ccc(OCCN(C)C)cc2
D00125,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)c6cc7OCOc7cc26
D01136,NC[C@@H]1CC[C@H](CC1)C(=O)O
D01133,COc1ccc(cc1)c2nc3cc(ccc3[nH]2)C4=NNC(=O)CC4C
D00533,NC(=O)N1c2ccccc2CC(=O)c3ccccc13
D00127,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ccccn3
D00126,CC(C)Cc1ccc(cc1)C(C)C(=O)O
